name_product,status_product,price_product,article_qty,profile_name,provincia_product,localidad_product,link_product,profile_link
Playstation 4 Ps4 Pro 1tb + 2 Controles + Basecarga + Juegos,Usado,175.000,,PALAESQUINADO,Capital Federal,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1180070372-playstation-4-ps4-pro-1tb-2-controles-basecarga-juegos-_JM#position=35&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/PALAESQUINADO
Playstation 4 Pro Ps4 1tb + 2 Controles + Basecarga + Juegos,Usado,136.000,,PALAESQUINADO,Capital Federal,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1239736845-playstation-4-pro-ps4-1tb-2-controles-basecarga-juegos-_JM#position=36&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/PALAESQUINADO
Sony Playstation 4 Pro 1tb 5.05 Hen + 8tb Incluye Gow Ragnar,Usado,700.000,,GASGRUN,Capital Federal,Caba,https://articulo.mercadolibre.com.ar/MLA-1239750455-sony-playstation-4-pro-1tb-505-hen-8tb-incluye-gow-ragnar-_JM#position=37&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/GASGRUN
Sony Playstation 4 Pro 1tb Usado. Excelente Estado,Usado,150.000,,SALALUIS,Buenos Aires,Manuel B Gonnet,https://articulo.mercadolibre.com.ar/MLA-1215470994-sony-playstation-4-pro-1tb-usado-excelente-estado-_JM#position=38&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/SALALUIS
Sony Playstation 4 Pro 1tb Standard Traida De Estados Unidos,Usado,170.000,,MARIELAYOFFE,Capital Federal,Recoleta,https://articulo.mercadolibre.com.ar/MLA-1179033247-sony-playstation-4-pro-1tb-standard-traida-de-estados-unidos-_JM#position=39&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/MARIELAYOFFE
Sony Playstation 4 Pro 1tb Standard En Perfecto Estado,Usado,135.500,,RODOLFO_SEBASTIAN,Buenos Aires,La Plata,https://articulo.mercadolibre.com.ar/MLA-1189268783-sony-playstation-4-pro-1tb-standard-en-perfecto-estado-_JM#position=40&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/RODOLFO_SEBASTIAN
Playstation 4 Pro 1 Tb Ssd Smsung Evo + 2 Joystick + Cámara,Usado,150.000,,HAMA_ARGENTINA,Capital Federal,CABA,https://articulo.mercadolibre.com.ar/MLA-1286756103-playstation-4-pro-1-tb-ssd-smsung-evo-2-joystick-camara-_JM#position=41&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/HAMA_ARGENTINA
Sony Playstation 4 Pro 1tb,Usado,170.000,,RUAD1463216,Buenos Aires,Remedios De Escalada,https://articulo.mercadolibre.com.ar/MLA-1267654652-sony-playstation-4-pro-1tb-_JM#position=42&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/RUAD1463216
Sony Playstation 4 Pro 1tb Impecable,Usado,130.000,,RIGE4842217,Buenos Aires,Quilmes Oeste,https://articulo.mercadolibre.com.ar/MLA-1208840820-sony-playstation-4-pro-1tb-impecable-_JM#position=43&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/RIGE4842217
Ps4 Pro 1tb Usada En Perfecto Estado +2 Juegos Originales,Usado,140.000,,PORCELPOLAHRE20221119021424,Buenos Aires,Villa Luzuriaga,https://articulo.mercadolibre.com.ar/MLA-1251739434-ps4-pro-1tb-usada-en-perfecto-estado-2-juegos-originales-_JM#position=44&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/PORCELPOLAHRE20221119021424
Ps4 Pro 2 Tb Original Impecable,Usado,209.900,,FRANCOITUR,Capital Federal,Palermo,https://articulo.mercadolibre.com.ar/MLA-1183862108-ps4-pro-2-tb-original-impecable-_JM#position=45&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/FRANCOITUR
Sony Playstation 4 Pro 1tb + Cámara + 1 Jostick + 1 Juego,Usado,144.900,,BLACKBIRD+PICTURES,Capital Federal,Villa Luro,https://articulo.mercadolibre.com.ar/MLA-1168346962-sony-playstation-4-pro-1tb-camara-1-jostick-1-juego-_JM#position=46&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/BLACKBIRD+PICTURES
Playstation 4 Pro Comprada En Usa Anda Perfecto,Usado,120.000,,INSH2011,Buenos Aires,Tigre,https://articulo.mercadolibre.com.ar/MLA-1236154928-playstation-4-pro-comprada-en-usa-anda-perfecto-_JM#position=47&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/INSH2011
Sony Playstation 4 + 1 Joystick + 3 Juegos,Usado,160.000,,LUCIANO02,Capital Federal,Flores,https://articulo.mercadolibre.com.ar/MLA-1234792126-sony-playstation-4-1-joystick-3-juegos-_JM#position=48&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/LUCIANO02
Playstation 4 Pro 4k 1tb,Usado,140.000,,PILE8927425,Buenos Aires,Tigre,https://articulo.mercadolibre.com.ar/MLA-1168336911-playstation-4-pro-4k-1tb-_JM#position=49&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/PILE8927425
Playstation 4 Pro 1 Tb + 2 Joy Negro. Excelente Como Nueva,Usado,215.000,,FIGHTFORFUN,Buenos Aires,Gral. San Martin,https://articulo.mercadolibre.com.ar/MLA-1227912297-playstation-4-pro-1-tb-2-joy-negro-excelente-como-nueva-_JM#position=50&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/FIGHTFORFUN
